HeadX,HeadY,HeadZ,HeadRx,HeadRy,HeadRz,HeadRw,LeftX,LeftY,LeftZ,LeftRx,LeftRy,LeftRz,LeftRw,RightX,RightY,RightZ,RightRx,RightRy,RightRz,RightRw,
0.35,1.564,0.123,0.031,-0.104,-0.015,0.994,0.237,1.253,0.291,-0.196,0.078,0.164,0.964,0.465,1.283,0.278,-0.239,-0.256,-0.222,0.91,
0.35,1.564,0.123,0.031,-0.103,-0.015,0.994,0.237,1.254,0.291,-0.196,0.078,0.164,0.964,0.465,1.283,0.279,-0.239,-0.256,-0.222,0.91,
0.35,1.564,0.123,0.031,-0.102,-0.015,0.994,0.237,1.254,0.291,-0.196,0.078,0.164,0.964,0.465,1.283,0.279,-0.239,-0.256,-0.222,0.91,
0.35,1.564,0.123,0.031,-0.102,-0.015,0.994,0.237,1.254,0.291,-0.196,0.078,0.164,0.964,0.464,1.283,0.279,-0.239,-0.256,-0.222,0.91,
0.35,1.564,0.123,0.031,-0.102,-0.015,0.994,0.237,1.254,0.291,-0.196,0.078,0.164,0.964,0.464,1.283,0.279,-0.239,-0.256,-0.222,0.91,
0.35,1.564,0.123,0.031,-0.102,-0.015,0.994,0.237,1.254,0.291,-0.196,0.078,0.164,0.964,0.464,1.283,0.279,-0.24,-0.256,-0.222,0.91,
0.35,1.564,0.123,0.03,-0.102,-0.015,0.994,0.237,1.254,0.291,-0.197,0.079,0.164,0.964,0.464,1.283,0.279,-0.24,-0.256,-0.222,0.91,
0.35,1.564,0.122,0.03,-0.102,-0.015,0.994,0.237,1.254,0.291,-0.197,0.079,0.164,0.963,0.464,1.283,0.279,-0.24,-0.256,-0.221,0.91,
0.35,1.564,0.122,0.03,-0.102,-0.015,0.994,0.237,1.254,0.291,-0.197,0.079,0.164,0.963,0.464,1.283,0.279,-0.24,-0.256,-0.221,0.91,
0.35,1.564,0.122,0.03,-0.102,-0.015,0.994,0.237,1.254,0.292,-0.197,0.079,0.164,0.963,0.464,1.283,0.279,-0.24,-0.256,-0.221,0.91,
0.35,1.564,0.122,0.03,-0.101,-0.015,0.994,0.237,1.254,0.292,-0.197,0.079,0.164,0.963,0.464,1.283,0.279,-0.24,-0.256,-0.221,0.91,
0.35,1.564,0.122,0.03,-0.101,-0.015,0.994,0.237,1.255,0.292,-0.197,0.079,0.164,0.963,0.464,1.283,0.279,-0.24,-0.256,-0.221,0.91,
0.35,1.564,0.121,0.03,-0.101,-0.015,0.994,0.237,1.255,0.291,-0.198,0.079,0.164,0.963,0.464,1.283,0.279,-0.24,-0.256,-0.221,0.91,
0.35,1.564,0.121,0.03,-0.101,-0.015,0.994,0.237,1.255,0.291,-0.198,0.079,0.164,0.963,0.464,1.283,0.279,-0.241,-0.256,-0.221,0.91,
0.35,1.564,0.121,0.03,-0.101,-0.014,0.994,0.237,1.255,0.291,-0.198,0.079,0.164,0.963,0.464,1.284,0.278,-0.241,-0.256,-0.221,0.91,
0.349,1.564,0.121,0.029,-0.101,-0.014,0.994,0.237,1.255,0.291,-0.198,0.079,0.164,0.963,0.464,1.284,0.278,-0.241,-0.256,-0.221,0.91,
0.349,1.565,0.121,0.029,-0.101,-0.014,0.994,0.237,1.255,0.291,-0.198,0.08,0.164,0.963,0.463,1.284,0.278,-0.241,-0.256,-0.221,0.91,
0.349,1.565,0.121,0.029,-0.101,-0.014,0.994,0.237,1.255,0.291,-0.198,0.08,0.164,0.963,0.463,1.284,0.278,-0.241,-0.257,-0.22,0.91,
0.349,1.565,0.121,0.029,-0.101,-0.014,0.994,0.237,1.255,0.291,-0.198,0.08,0.164,0.963,0.463,1.284,0.278,-0.241,-0.257,-0.22,0.91,
0.349,1.565,0.12,0.029,-0.101,-0.014,0.994,0.237,1.255,0.291,-0.198,0.08,0.164,0.963,0.463,1.284,0.278,-0.242,-0.257,-0.22,0.91,
0.349,1.565,0.12,0.029,-0.101,-0.014,0.994,0.237,1.255,0.291,-0.199,0.08,0.164,0.963,0.463,1.284,0.278,-0.242,-0.257,-0.22,0.909,
0.349,1.565,0.12,0.028,-0.101,-0.014,0.994,0.236,1.255,0.291,-0.199,0.081,0.164,0.963,0.463,1.284,0.278,-0.242,-0.257,-0.22,0.909,
0.349,1.565,0.12,0.028,-0.102,-0.014,0.994,0.237,1.256,0.291,-0.199,0.081,0.164,0.963,0.463,1.284,0.278,-0.242,-0.257,-0.22,0.909,
0.349,1.565,0.12,0.028,-0.102,-0.014,0.994,0.237,1.256,0.29,-0.199,0.081,0.164,0.963,0.463,1.284,0.278,-0.242,-0.257,-0.22,0.909,
0.349,1.565,0.119,0.028,-0.102,-0.014,0.994,0.237,1.256,0.29,-0.199,0.081,0.164,0.963,0.463,1.285,0.278,-0.242,-0.257,-0.22,0.909,
0.349,1.565,0.119,0.028,-0.102,-0.014,0.994,0.237,1.256,0.29,-0.2,0.081,0.164,0.963,0.463,1.285,0.277,-0.242,-0.257,-0.22,0.909,
0.348,1.565,0.119,0.028,-0.101,-0.014,0.994,0.237,1.256,0.29,-0.2,0.081,0.164,0.963,0.463,1.285,0.277,-0.242,-0.257,-0.22,0.909,
0.348,1.565,0.119,0.028,-0.102,-0.014,0.994,0.237,1.256,0.29,-0.2,0.081,0.164,0.963,0.463,1.285,0.277,-0.243,-0.257,-0.22,0.909,
0.348,1.565,0.119,0.027,-0.102,-0.014,0.994,0.237,1.256,0.29,-0.2,0.081,0.164,0.963,0.463,1.285,0.277,-0.243,-0.257,-0.22,0.909,
0.348,1.565,0.118,0.027,-0.101,-0.013,0.994,0.236,1.256,0.29,-0.201,0.081,0.164,0.962,0.463,1.285,0.277,-0.243,-0.257,-0.22,0.909,
0.348,1.565,0.118,0.027,-0.101,-0.013,0.994,0.236,1.256,0.29,-0.201,0.081,0.164,0.962,0.463,1.285,0.277,-0.243,-0.257,-0.22,0.909,
0.348,1.565,0.118,0.027,-0.101,-0.013,0.994,0.236,1.256,0.29,-0.201,0.081,0.164,0.962,0.463,1.285,0.277,-0.243,-0.257,-0.22,0.909,
0.348,1.565,0.118,0.027,-0.101,-0.013,0.994,0.236,1.256,0.289,-0.201,0.081,0.164,0.962,0.463,1.285,0.277,-0.243,-0.257,-0.22,0.909,
0.348,1.565,0.117,0.026,-0.102,-0.013,0.994,0.236,1.256,0.289,-0.201,0.081,0.164,0.962,0.463,1.285,0.276,-0.243,-0.257,-0.22,0.909,
0.348,1.565,0.117,0.026,-0.102,-0.013,0.994,0.236,1.256,0.289,-0.201,0.081,0.164,0.962,0.462,1.285,0.276,-0.243,-0.257,-0.22,0.909,
0.348,1.565,0.117,0.026,-0.102,-0.013,0.994,0.236,1.256,0.289,-0.2,0.081,0.164,0.962,0.462,1.285,0.276,-0.243,-0.257,-0.22,0.909,
0.348,1.565,0.117,0.026,-0.102,-0.013,0.994,0.236,1.256,0.289,-0.2,0.082,0.164,0.962,0.462,1.285,0.275,-0.243,-0.257,-0.22,0.909,
0.348,1.565,0.117,0.026,-0.102,-0.013,0.994,0.236,1.256,0.289,-0.2,0.082,0.164,0.963,0.462,1.285,0.275,-0.243,-0.257,-0.22,0.909,
0.348,1.565,0.116,0.026,-0.102,-0.013,0.994,0.236,1.256,0.288,-0.2,0.082,0.164,0.963,0.462,1.285,0.275,-0.243,-0.257,-0.22,0.909,
0.347,1.565,0.116,0.026,-0.101,-0.014,0.994,0.236,1.256,0.288,-0.2,0.082,0.164,0.963,0.462,1.285,0.275,-0.243,-0.257,-0.219,0.909,
0.347,1.565,0.116,0.025,-0.101,-0.014,0.994,0.236,1.256,0.288,-0.2,0.082,0.164,0.962,0.462,1.285,0.275,-0.242,-0.257,-0.219,0.91,
0.347,1.565,0.116,0.025,-0.1,-0.014,0.995,0.236,1.256,0.288,-0.2,0.083,0.164,0.962,0.462,1.285,0.275,-0.24,-0.257,-0.22,0.91,
0.347,1.565,0.116,0.024,-0.099,-0.014,0.995,0.236,1.256,0.287,-0.2,0.083,0.165,0.962,0.462,1.285,0.275,-0.239,-0.256,-0.22,0.91,
0.347,1.565,0.116,0.024,-0.097,-0.015,0.995,0.237,1.257,0.287,-0.199,0.085,0.165,0.962,0.462,1.285,0.274,-0.237,-0.256,-0.219,0.911,
0.348,1.565,0.115,0.023,-0.095,-0.015,0.995,0.237,1.26,0.286,-0.204,0.087,0.162,0.961,0.463,1.288,0.274,-0.236,-0.254,-0.215,0.913,
0.349,1.565,0.114,0.023,-0.092,-0.016,0.995,0.236,1.264,0.287,-0.215,0.083,0.155,0.961,0.463,1.292,0.275,-0.239,-0.251,-0.209,0.914,
0.349,1.564,0.113,0.023,-0.089,-0.017,0.996,0.237,1.272,0.287,-0.231,0.081,0.138,0.96,0.464,1.299,0.276,-0.245,-0.246,-0.196,0.917,
0.349,1.564,0.112,0.023,-0.084,-0.017,0.996,0.239,1.283,0.289,-0.245,0.084,0.115,0.959,0.465,1.311,0.278,-0.259,-0.238,-0.175,0.92,
0.349,1.564,0.111,0.023,-0.081,-0.018,0.996,0.242,1.301,0.292,-0.27,0.091,0.088,0.954,0.467,1.327,0.278,-0.282,-0.23,-0.144,0.92,
0.349,1.564,0.109,0.027,-0.078,-0.018,0.996,0.244,1.32,0.293,-0.298,0.098,0.067,0.947,0.469,1.347,0.276,-0.319,-0.228,-0.108,0.914,
0.349,1.563,0.108,0.03,-0.075,-0.019,0.997,0.245,1.346,0.292,-0.338,0.107,0.047,0.934,0.472,1.372,0.272,-0.361,-0.235,-0.08,0.899,
0.349,1.563,0.106,0.033,-0.072,-0.021,0.997,0.244,1.374,0.29,-0.386,0.108,0.032,0.916,0.476,1.397,0.267,-0.402,-0.238,-0.059,0.882,
0.35,1.563,0.104,0.035,-0.07,-0.021,0.997,0.241,1.404,0.285,-0.438,0.1,0.025,0.893,0.482,1.429,0.26,-0.449,-0.232,-0.041,0.862,
0.35,1.563,0.103,0.035,-0.066,-0.016,0.997,0.238,1.434,0.279,-0.482,0.09,0.022,0.871,0.488,1.46,0.251,-0.494,-0.219,-0.02,0.841,
0.351,1.563,0.101,0.036,-0.061,-0.019,0.997,0.234,1.464,0.271,-0.521,0.078,0.026,0.849,0.493,1.491,0.239,-0.543,-0.201,0.012,0.815,
0.351,1.563,0.1,0.037,-0.057,-0.019,0.998,0.229,1.493,0.262,-0.557,0.063,0.028,0.828,0.498,1.521,0.226,-0.595,-0.174,0.05,0.783,
0.351,1.562,0.098,0.039,-0.055,-0.015,0.998,0.224,1.52,0.252,-0.59,0.042,0.027,0.806,0.505,1.549,0.211,-0.647,-0.13,0.079,0.748,
0.352,1.562,0.096,0.043,-0.051,-0.014,0.998,0.217,1.545,0.241,-0.624,0.016,0.029,0.781,0.513,1.575,0.198,-0.688,-0.087,0.085,0.715,
0.352,1.562,0.095,0.046,-0.048,-0.015,0.998,0.21,1.567,0.229,-0.657,0,0.04,0.753,0.523,1.598,0.186,-0.717,-0.058,0.069,0.691,
0.352,1.563,0.093,0.047,-0.045,-0.013,0.998,0.203,1.586,0.218,-0.692,-0.001,0.054,0.72,0.532,1.618,0.176,-0.745,-0.053,0.044,0.664,
0.352,1.563,0.092,0.045,-0.042,-0.012,0.998,0.196,1.603,0.21,-0.723,0.007,0.055,0.689,0.543,1.636,0.171,-0.761,-0.059,0.014,0.646,
0.353,1.563,0.091,0.043,-0.039,-0.011,0.998,0.189,1.62,0.205,-0.75,0.004,0.039,0.66,0.553,1.655,0.171,-0.772,-0.058,-0.01,0.633,
0.353,1.562,0.09,0.043,-0.037,-0.01,0.998,0.18,1.636,0.204,-0.773,-0.02,0.012,0.634,0.566,1.671,0.182,-0.773,-0.048,-0.031,0.632,
0.353,1.561,0.089,0.043,-0.034,-0.009,0.998,0.168,1.655,0.207,-0.78,-0.053,0.01,0.623,0.578,1.691,0.193,-0.769,-0.031,-0.05,0.636,
0.354,1.561,0.088,0.043,-0.031,-0.009,0.999,0.148,1.675,0.218,-0.762,-0.097,0.047,0.638,0.59,1.713,0.222,-0.723,0.009,-0.068,0.687,
0.355,1.56,0.088,0.042,-0.027,-0.01,0.999,0.127,1.695,0.23,-0.733,-0.138,0.105,0.658,0.598,1.735,0.245,-0.677,0.055,-0.07,0.731,
0.355,1.56,0.087,0.043,-0.022,-0.012,0.999,0.106,1.713,0.244,-0.694,-0.16,0.166,0.682,0.605,1.753,0.273,-0.605,0.096,-0.059,0.788,
0.356,1.559,0.086,0.045,-0.017,-0.013,0.999,0.087,1.727,0.259,-0.653,-0.16,0.221,0.707,0.612,1.767,0.296,-0.536,0.087,-0.074,0.836,
0.357,1.559,0.085,0.047,-0.011,-0.014,0.999,0.071,1.738,0.275,-0.605,-0.146,0.266,0.736,0.62,1.77,0.311,-0.46,-0.011,-0.151,0.875,
0.357,1.56,0.084,0.048,-0.005,-0.015,0.999,0.059,1.745,0.289,-0.552,-0.124,0.304,0.767,0.623,1.768,0.315,-0.417,-0.065,-0.209,0.882,
0.357,1.562,0.084,0.048,0.001,-0.017,0.999,0.052,1.746,0.301,-0.49,-0.115,0.325,0.8,0.615,1.758,0.299,-0.434,-0.059,-0.205,0.875,
0.358,1.563,0.084,0.047,0.007,-0.016,0.999,0.057,1.742,0.299,-0.469,-0.15,0.296,0.819,0.596,1.744,0.264,-0.531,0.001,-0.12,0.839,
0.357,1.566,0.085,0.042,0.014,-0.02,0.999,0.075,1.731,0.274,-0.538,-0.191,0.207,0.794,0.562,1.725,0.218,-0.631,0.026,0.026,0.775,
0.357,1.568,0.086,0.033,0.019,-0.019,0.999,0.095,1.721,0.246,-0.616,-0.19,0.131,0.753,0.539,1.712,0.191,-0.666,-0.001,0.093,0.74,
0.357,1.569,0.087,0.023,0.021,-0.012,0.999,0.122,1.708,0.215,-0.691,-0.136,0.063,0.707,0.518,1.697,0.171,-0.676,-0.048,0.138,0.722,
0.358,1.569,0.087,0.016,0.023,-0.006,1,0.147,1.694,0.194,-0.725,-0.067,0.013,0.685,0.504,1.684,0.154,-0.682,-0.056,0.155,0.713,
0.359,1.568,0.087,0.012,0.026,-0.003,1,0.173,1.677,0.179,-0.73,-0.002,-0.024,0.683,0.495,1.668,0.138,-0.695,-0.057,0.147,0.701,
0.359,1.567,0.087,0.008,0.031,-0.005,0.999,0.194,1.661,0.166,-0.738,0.028,-0.049,0.672,0.487,1.654,0.122,-0.72,-0.063,0.155,0.673,
0.36,1.567,0.087,0.005,0.036,-0.007,0.999,0.212,1.645,0.155,-0.765,0.064,-0.072,0.637,0.48,1.641,0.111,-0.751,-0.064,0.185,0.631,
0.36,1.566,0.087,0.002,0.043,-0.008,0.999,0.226,1.631,0.148,-0.786,0.102,-0.1,0.601,0.477,1.634,0.108,-0.779,-0.045,0.231,0.581,
0.361,1.565,0.087,0.001,0.049,-0.008,0.999,0.234,1.623,0.148,-0.801,0.108,-0.126,0.576,0.482,1.637,0.116,-0.791,-0.002,0.262,0.553,
0.361,1.563,0.086,0.001,0.057,-0.008,0.998,0.235,1.622,0.157,-0.82,0.097,-0.154,0.543,0.494,1.653,0.135,-0.777,0.076,0.269,0.564,
0.362,1.562,0.086,0.005,0.064,-0.008,0.998,0.23,1.632,0.174,-0.818,0.065,-0.172,0.545,0.509,1.674,0.154,-0.752,0.151,0.262,0.586,
0.364,1.561,0.085,0.012,0.074,-0.008,0.997,0.21,1.662,0.203,-0.777,-0.023,-0.131,0.615,0.531,1.702,0.178,-0.707,0.181,0.223,0.646,
0.365,1.56,0.083,0.022,0.087,-0.009,0.996,0.185,1.691,0.229,-0.726,-0.089,-0.05,0.68,0.553,1.725,0.194,-0.66,0.156,0.162,0.717,
0.365,1.56,0.082,0.033,0.099,-0.009,0.994,0.158,1.716,0.251,-0.674,-0.101,0.042,0.73,0.574,1.743,0.208,-0.597,0.109,0.087,0.79,
0.366,1.562,0.081,0.041,0.11,-0.007,0.993,0.13,1.734,0.269,-0.623,-0.071,0.145,0.765,0.599,1.757,0.222,-0.493,0.028,-0.029,0.869,
0.367,1.565,0.08,0.039,0.121,-0.008,0.992,0.104,1.746,0.287,-0.563,-0.038,0.244,0.789,0.615,1.765,0.234,-0.402,-0.018,-0.108,0.909,
0.369,1.568,0.08,0.032,0.133,-0.011,0.991,0.08,1.75,0.305,-0.481,-0.031,0.339,0.808,0.622,1.758,0.241,-0.322,-0.033,-0.143,0.935,
0.372,1.57,0.08,0.02,0.148,-0.01,0.989,0.067,1.746,0.319,-0.425,-0.057,0.384,0.818,0.619,1.749,0.23,-0.37,0.038,-0.099,0.923,
0.375,1.571,0.08,-0.014,-0.164,0.007,-0.986,0.067,1.738,0.323,-0.399,-0.094,0.371,0.833,0.598,1.733,0.19,-0.558,0.125,0.035,0.819,
0.376,1.571,0.08,-0.01,-0.181,0.006,-0.983,0.078,1.733,0.313,-0.438,-0.098,0.312,0.837,0.58,1.72,0.163,-0.644,0.143,0.121,0.742,
0.378,1.57,0.081,-0.007,-0.196,0.004,-0.981,0.107,1.724,0.281,-0.564,-0.016,0.198,0.802,0.558,1.704,0.143,-0.67,0.106,0.175,0.713,
0.38,1.571,0.081,-0.006,-0.21,0.003,-0.978,0.13,1.714,0.255,-0.641,0.036,0.121,0.757,0.543,1.691,0.133,-0.665,0.06,0.201,0.717,
0.382,1.572,0.081,-0.004,-0.225,0.003,-0.974,0.154,1.702,0.234,-0.685,0.058,0.051,0.724,0.529,1.678,0.125,-0.652,0.024,0.222,0.725,
0.384,1.572,0.081,0,-0.24,0.002,-0.971,0.181,1.687,0.215,-0.709,0.077,-0.012,0.7,0.518,1.662,0.114,-0.664,0.02,0.247,0.705,
0.387,1.572,0.08,0.005,-0.257,0.001,-0.966,0.204,1.671,0.201,-0.719,0.135,-0.049,0.68,0.509,1.647,0.104,-0.691,0.045,0.277,0.666,
0.389,1.571,0.08,0.007,-0.275,0.003,-0.961,0.223,1.655,0.189,-0.728,0.198,-0.076,0.652,0.504,1.632,0.095,-0.722,0.077,0.318,0.61,
0.39,1.569,0.079,0.005,-0.292,0.003,-0.956,0.236,1.637,0.178,-0.753,0.249,-0.102,0.601,0.503,1.62,0.09,-0.744,0.102,0.347,0.561,
0.391,1.568,0.079,0.002,-0.308,0.003,-0.951,0.244,1.624,0.171,-0.779,0.264,-0.128,0.554,0.506,1.613,0.088,-0.753,0.122,0.362,0.535,
0.371,1.516,0.075,0,-0.325,0.011,-0.946,0.237,1.63,0.184,-0.788,0.181,-0.115,0.577,0.526,1.624,0.1,-0.736,0.172,0.334,0.563,
0.391,1.579,0.071,-0.028,-0.303,0.01,-0.953,0.228,1.645,0.199,-0.763,0.109,-0.079,0.632,0.557,1.638,0.104,-0.713,0.186,0.23,0.636,
0.394,1.569,0.08,-0.001,-0.347,-0.018,-0.938,0.211,1.667,0.22,-0.731,0.055,-0.008,0.68,0.575,1.644,0.113,-0.692,0.147,0.207,0.676,
0.393,1.565,0.078,0,-0.356,-0.004,-0.934,0.187,1.69,0.242,-0.694,0.046,0.082,0.714,0.593,1.653,0.122,-0.664,0.183,0.198,0.698,
0.39,1.564,0.077,-0.016,-0.366,0.004,-0.931,0.167,1.706,0.26,-0.652,0.047,0.164,0.739,0.617,1.662,0.128,-0.635,0.202,0.141,0.732,
0.39,1.565,0.076,-0.03,-0.369,0.008,-0.929,0.146,1.718,0.281,-0.592,0.055,0.251,0.764,0.641,1.667,0.134,-0.601,0.218,0.072,0.766,
0.39,1.568,0.074,-0.03,-0.375,0.009,-0.926,0.129,1.724,0.301,-0.536,0.054,0.319,0.78,0.662,1.668,0.138,-0.567,0.216,0.008,0.795,
